id,source,tenant_id,lat,lng,lang,channel,media_type,raw_text,category_gold,district,cluster_id
SAMPLE-DL-001,SAMPLE,delhi_pwd,28.628369881849483,77.21939504773178,hi,web,photo,"जनकपथ पर बड़ा गड्ढा, गाड़ियाँ झटका खा रही हैं",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-002,SAMPLE,delhi_pwd,28.627816619628387,77.21909123746863,hi,web,photo,"Same stretch, pothole near the crossing after rain",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-003,SAMPLE,delhi_pwd,28.628137262456693,77.21929226413681,hi,web,photo,"सड़क टूटी हुई है, रात को दिखाई नहीं देती",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-004,SAMPLE,delhi_pwd,28.628019189577177,77.21906287417066,en,web,photo,"जनकपथ पर बड़ा गड्ढा, गाड़ियाँ झटका खा रही हैं",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-005,SAMPLE,delhi_pwd,28.628070226890376,77.21936112382933,hi,web,photo,"Same stretch, pothole near the crossing after rain",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-006,SAMPLE,delhi_pwd,28.628180695534713,77.21936247150659,hi,web,photo,"सड़क टूटी हुई है, रात को दिखाई नहीं देती",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-007,SAMPLE,delhi_pwd,28.62788597128329,77.21939110945205,hi,web,photo,"जनकपथ पर बड़ा गड्ढा, गाड़ियाँ झटका खा रही हैं",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-008,SAMPLE,delhi_pwd,28.627990631018594,77.2192943287257,hi,web,photo,"Same stretch, pothole near the crossing after rain",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-009,SAMPLE,delhi_pwd,28.628125359712367,77.21892389522377,hi,web,photo,"सड़क टूटी हुई है, रात को दिखाई नहीं देती",pothole,New Delhi,dl-janpath-pothole
SAMPLE-DL-010,SAMPLE,delhi_pwd,28.527701767905963,77.2069595903045,en,web,photo,Outer Ring Road pothole cluster near the flyover ramp,pothole,South Delhi,dl-outerring-pothole
SAMPLE-DL-011,SAMPLE,delhi_pwd,28.52760556132452,77.20696344509389,hi,web,photo,"दो लेन में गड्ढे, बाइक गिरने का डर",pothole,South Delhi,dl-outerring-pothole
SAMPLE-DL-012,SAMPLE,delhi_pwd,28.527194587995293,77.20663197576245,en,web,photo,Outer Ring Road pothole cluster near the flyover ramp,pothole,South Delhi,dl-outerring-pothole
SAMPLE-DL-013,SAMPLE,delhi_pwd,28.527716909953856,77.20681775927784,en,web,photo,"दो लेन में गड्ढे, बाइक गिरने का डर",pothole,South Delhi,dl-outerring-pothole
SAMPLE-DL-014,SAMPLE,delhi_pwd,28.527602256123604,77.20673108833896,en,web,photo,Outer Ring Road pothole cluster near the flyover ramp,pothole,South Delhi,dl-outerring-pothole
SAMPLE-DL-015,SAMPLE,delhi_pwd,28.527362762499582,77.20703766166247,hi,web,photo,"दो लेन में गड्ढे, बाइक गिरने का डर",pothole,South Delhi,dl-outerring-pothole
SAMPLE-DL-016,SAMPLE,delhi_pwd,28.63647320244294,77.2875794964818,hi,web,photo,विकास मार्ग पर बारिश में कमर तक पानी,waterlogging,East Delhi,dl-vikasmarg-water
SAMPLE-DL-017,SAMPLE,delhi_pwd,28.636157885192965,77.28719222507954,hi,web,photo,"Drain blocked, water sits for hours after rain",waterlogging,East Delhi,dl-vikasmarg-water
SAMPLE-DL-018,SAMPLE,delhi_pwd,28.63629227920069,77.28754816280461,hi,web,photo,विकास मार्ग पर बारिश में कमर तक पानी,waterlogging,East Delhi,dl-vikasmarg-water
SAMPLE-DL-019,SAMPLE,delhi_pwd,28.636086491907616,77.28729870362083,en,web,photo,"Drain blocked, water sits for hours after rain",waterlogging,East Delhi,dl-vikasmarg-water
SAMPLE-DL-020,SAMPLE,delhi_pwd,28.63636664148094,77.28737333074866,hi,web,photo,विकास मार्ग पर बारिश में कमर तक पानी,waterlogging,East Delhi,dl-vikasmarg-water
SAMPLE-DL-021,SAMPLE,delhi_pwd,28.6362358595754,77.28762509079412,hi,web,photo,"Drain blocked, water sits for hours after rain",waterlogging,East Delhi,dl-vikasmarg-water
SAMPLE-DL-022,SAMPLE,delhi_pwd,28.636302960915295,77.28729359179442,hi,web,photo,विकास मार्ग पर बारिश में कमर तक पानी,waterlogging,East Delhi,dl-vikasmarg-water
SAMPLE-DL-023,SAMPLE,delhi_pwd,28.632748376483434,77.21932144713156,en,web,photo,Streetlight dead on this stretch since last week,streetlight,New Delhi,dl-cp-streetlight
SAMPLE-DL-024,SAMPLE,delhi_pwd,28.632566888911896,77.21928326096148,hi,web,photo,"बत्ती खराब, अंधेरा, महिलाएँ डरती हैं",streetlight,New Delhi,dl-cp-streetlight
SAMPLE-DL-025,SAMPLE,delhi_pwd,28.6326915006071,77.21924364393551,en,web,photo,Streetlight dead on this stretch since last week,streetlight,New Delhi,dl-cp-streetlight
SAMPLE-DL-026,SAMPLE,delhi_pwd,28.6327970073326,77.21958240707494,en,web,photo,"बत्ती खराब, अंधेरा, महिलाएँ डरती हैं",streetlight,New Delhi,dl-cp-streetlight
SAMPLE-DL-027,SAMPLE,delhi_pwd,28.632480203236234,77.21968740963291,en,web,photo,Streetlight dead on this stretch since last week,streetlight,New Delhi,dl-cp-streetlight
SAMPLE-DL-028,SAMPLE,delhi_pwd,28.537683619639605,77.21663040844909,hi,web,photo,"फुटपाथ टूटा, व्हीलचेयर नहीं जा सकती",footpath,South Delhi,dl-press-footpath
